RHC	804.0	421.0	65.633	2.438	0.026	5
SA	421.0	804.0	34.367	2.264	0.005	5
RHC	804.0	421.0	65.633	2.437	0.442	5
RHC	804.0	421.0	65.633	2.821	0.020	5
SA	421.0	804.0	34.367	3.404	0.013	5
SA	421.0	804.0	34.367	3.536	0.006	5
RHC	804.0	421.0	65.633	4.457	0.057	10
RHC	804.0	421.0	65.633	4.787	0.013	10
RHC	804.0	421.0	65.633	5.937	0.047	10
SA	421.0	804.0	34.367	5.873	0.047	10
SA	421.0	804.0	34.367	6.628	0.353	10
SA	421.0	804.0	34.367	7.039	0.050	10
GA	594.0	631.0	48.490	7.833	0.015	5
GA	565.0	660.0	46.122	7.843	0.020	5
SA	421.0	804.0	34.367	8.408	0.030	20
RHC	804.0	421.0	65.633	9.175	0.008	20
RHC	804.0	421.0	65.633	9.511	0.047	20
GA	775.0	450.0	63.265	9.353	0.043	5
SA	421.0	804.0	34.367	10.820	0.018	20
RHC	804.0	421.0	65.633	11.182	0.011	20
SA	421.0	804.0	34.367	11.240	0.147	20
RHC	804.0	421.0	65.633	13.432	0.005	30
SA	421.0	804.0	34.367	13.105	0.022	30
RHC	804.0	421.0	65.633	14.023	0.028	30
SA	421.0	804.0	34.367	13.945	0.004	30
RHC	804.0	421.0	65.633	14.827	0.035	30
GA	779.0	446.0	63.592	14.974	0.005	10
SA	421.0	804.0	34.367	14.994	0.090	30
RHC	804.0	421.0	65.633	15.709	0.010	40
GA	754.0	471.0	61.551	16.540	0.062	10
GA	647.0	578.0	52.816	16.750	0.011	10
SA	421.0	804.0	34.367	17.242	0.021	40
RHC	804.0	421.0	65.633	17.725	0.013	40
SA	421.0	804.0	34.367	17.512	0.126	40
SA	421.0	804.0	34.367	17.752	0.005	40
RHC	804.0	421.0	65.633	19.318	0.089	40
RHC	804.0	421.0	65.633	19.753	0.005	50
SA	421.0	804.0	34.367	21.158	0.011	50
RHC	804.0	421.0	65.633	21.526	0.003	50
SA	421.0	804.0	34.367	21.252	0.005	50
GA	680.0	545.0	55.510	26.117	0.088	20
GA	752.0	473.0	61.388	26.166	0.041	20
GA	759.0	466.0	61.959	26.670	0.006	20
SA	804.0	421.0	65.633	30.926	0.005	100
RHC	804.0	421.0	65.633	31.303	0.049	100
SA	804.0	421.0	65.633	31.338	0.036	100
RHC	804.0	421.0	65.633	32.355	0.012	100
GA	804.0	421.0	65.633	32.406	0.005	30
GA	804.0	421.0	65.633	34.593	0.006	30
GA	805.0	420.0	65.714	34.592	0.006	30
GA	729.0	496.0	59.510	42.830	0.010	40
GA	674.0	551.0	55.020	43.435	0.010	40
GA	804.0	421.0	65.633	43.845	0.039	40
RHC	806.0	419.0	65.796	45.905	0.051	200
RHC	804.0	421.0	65.633	45.986	0.010	200
SA	807.0	418.0	65.878	46.190	0.051	200
SA	804.0	421.0	65.633	46.286	0.005	200
GA	804.0	421.0	65.633	51.346	0.015	50
GA	804.0	421.0	65.633	52.225	0.006	50
RHC	803.0	422.0	65.551	70.857	0.050	500
SA	788.0	437.0	64.327	72.281	0.060	500
RHC	805.0	420.0	65.714	73.594	0.011	500
SA	834.0	391.0	68.082	73.390	0.005	500
GA	804.0	421.0	65.633	82.775	0.049	100
GA	804.0	421.0	65.633	82.954	0.039	100
RHC	783.0	442.0	63.918	99.934	0.005	1000
SA	796.0	429.0	64.980	101.286	0.024	1000
SA	831.0	394.0	67.837	101.899	0.030	1000
RHC	878.0	347.0	71.673	102.597	0.011	1000
SA	895.0	330.0	73.061	118.072	0.004	1500
RHC	907.0	318.0	74.041	118.309	0.004	1500
RHC	892.0	333.0	72.816	118.790	0.010	1500
SA	901.0	324.0	73.551	119.436	0.005	1500
GA	804.0	421.0	65.633	125.041	0.011	200
GA	804.0	421.0	65.633	125.789	0.011	200
GA	804.0	421.0	65.633	203.535	0.006	500
GA	804.0	421.0	65.633	205.553	0.004	500
GA	804.0	421.0	65.633	315.858	0.008	1000
GA	804.0	421.0	65.633	316.374	0.004	1000
GA	804.0	421.0	65.633	389.371	0.004	1500
GA	804.0	421.0	65.633	390.018	0.003	1500
